Protein,Domain,Range,ECOD_num,ECOD_key,T-group,DPAM_prob,HH_prob,DALI_zscore,Hit_cov,Tgroup_cov,Judge,Hcount,Scount,subset,domain_length,bin,intracellular_percentage
Q01973,nD1,46-160,2464252,e6fwxA1,11.1.1,0.993,0.992,14.7,1.0,1.065,good_domain,1,8,subset_417,115,1,0.0
Q01973,nD2,166-300,2797881,e7me4A2,543.1.1,0.994,0.997,14.2,0.906,0.828,good_domain,3,3,subset_417,135,1,0.0
Q01973,nD3,311-389,985510,e4a5tS2,380.1.1,0.832,0.992,0.0,na,na,simple_topology,0,2,subset_417,79,0,0.0
Q01973,nD4,"447-760,821-830",1228922,e4gt4B2,206.1.1,0.998,0.999,38.7,0.945,1.076,good_domain,11,8,subset_417,324,2,100.0
Q99471,nD1,11-150,1000632,e2zqmA1,192.2.1,0.994,0.986,10.3,0.934,1.308,good_domain,2,4,subset_222,140,1,100.0
P18124,nD1,6-248,2096253,e5tbwCI1,887.1.1,0.999,1.0,30.4,0.914,1.568,good_domain,8,7,subset_222,243,2,100.0
Q6P179,nD1,51-270,2814163,e7pfsA3,4081.1.1,0.997,1.0,35.2,0.987,1.063,good_domain,1,13,subset_222,220,2,0.0
Q6P179,nD2,271-545,2814162,e7pfsA2,2498.1.1,0.997,1.0,41.0,0.996,1.096,good_domain,8,6,subset_222,275,2,0.0
Q6P179,nD3,546-640,2561035,e6ea4B1,11.1.1,0.991,1.0,14.9,1.0,0.88,good_domain,2,7,subset_222,95,1,0.0
Q6P179,nD4,641-960,2814164,e7pfsA4,109.4.1,0.997,1.0,39.8,0.982,1.119,good_domain,16,0,subset_222,320,2,0.0
Q14344,nD1,81-200,3526,e1zcbA1,135.1.1,0.996,1.0,15.6,0.952,0.984,good_domain,5,0,subset_230,120,1,100.0
Q14344,nD2,"21-75,201-375",350848,e3cx8A2,2004.1.1,0.998,1.0,26.6,0.98,1.031,good_domain,7,7,subset_230,230,2,100.0
P62273,nD1,1-55,2755690,e7o7yAG1,377.1.1,0.998,0.999,9.0,0.982,1.1,good_domain,1,1,subset_230,55,0,100.0
Q92835,nD1,1-105,167641,e2ysxA1,214.1.1,0.999,0.974,18.5,0.938,0.946,good_domain,2,4,subset_230,105,1,100.0
Q92835,nD2,"156-220,261-285",60618,e1sryB1,192.7.1,0.938,0.0,7.4,0.536,0.804,good_domain,4,0,subset_230,90,1,100.0
Q92835,nD3,296-385,1159136,e4ekuA4,220.1.1,0.995,0.0,10.9,0.759,0.738,good_domain,2,6,subset_230,90,1,100.0
Q92835,nD4,386-720,2711140,e5rybA2,246.3.1,0.994,1.0,53.2,1.0,1.269,good_domain,6,12,subset_230,335,2,100.0
Q92835,nD5,721-855,2584159,e6xy7AAA1,11.2.1,0.999,1.0,25.5,0.978,0.957,good_domain,0,8,subset_230,135,1,100.0
P62993,nD1,1-55,2322692,e6amwA2,4.1.1,0.997,0.965,6.2,0.399,0.688,good_domain,1,4,subset_20,55,0,100.0
P62993,nD2,56-160,221371,e4fl2A3,214.1.1,0.992,0.866,14.0,0.748,0.946,good_domain,2,4,subset_20,105,1,100.0
P62993,nD3,161-215,505,e1griA2,4.1.1,0.999,0.984,12.7,0.902,0.688,good_domain,1,4,subset_20,55,0,100.0
Q12879,nD1,"31-145,286-340",2816819,e7eu7B2,2007.1.2,0.998,1.0,29.1,0.714,1.189,good_domain,6,4,subset_20,170,2,0.0
Q12879,nD2,"146-285,341-400",2761273,e7epcB4,2007.1.2,0.997,0.996,18.7,0.58,1.399,good_domain,5,8,subset_20,200,2,0.0
Q12879,nD3,"401-530,761-810",2816821,e7eu7B4,7523.1.1,0.996,1.0,25.7,0.91,1.2,good_domain,4,6,subset_20,180,2,0.0
Q12879,nD4,"546-655,811-840",2816920,e7f57A3,5054.1.1,0.993,1.0,11.3,0.733,0.614,good_domain,4,0,subset_20,140,1,35.0
Q12879,nD5,"531-545,656-760",1614831,e4tlmD1,7523.1.1,0.996,1.0,16.9,0.973,0.8,good_domain,4,4,subset_20,120,1,0.0
Q9UJ96,nD1,16-140,1760353,e3dryC1,226.1.1,0.988,0.994,9.0,0.596,1.068,good_domain,5,5,subset_20,125,1,100.0
Q9UJ96,nD2,156-440,1165465,e3ukmD1,5054.1.1,0.998,0.985,10.5,0.395,1.25,good_domain,9,0,subset_20,285,2,33.333333333333336
P79483,nD1,11-120,2576582,e4d8pD3,233.1.1,0.995,0.999,13.4,0.702,0.621,good_domain,3,4,subset_20,110,1,17.272727272727273
P79483,nD2,121-230,154648,e4i0pH1,11.1.1,0.998,0.998,17.8,0.971,1.019,good_domain,1,8,subset_20,110,1,0.0
P15056,nD1,41-105,2636645,e6vmeC1,192.15.1,0.984,0.0,9.0,0.955,0.605,simple_topology,2,0,subset_117,65,0,100.0
P15056,nD2,156-235,395073,e2l05A1,221.1.1,0.996,0.994,14.2,0.917,0.851,good_domain,2,6,subset_117,80,0,100.0
P15056,nD3,236-280,2716480,e6xgvB2,376.1.2,0.998,0.997,9.8,0.849,0.726,good_domain,1,3,subset_117,45,0,100.0
P15056,nD4,441-720,2814018,e7mfdA1,206.1.1,0.998,1.0,32.2,0.9,0.93,good_domain,9,8,subset_117,280,2,100.0
Q14654,nD1,31-170,1040791,e4gx0A4,5054.1.1,0.995,0.979,9.7,0.967,0.614,good_domain,4,0,subset_117,140,1,32.857142857142854
Q14654,nD2,176-355,2487481,e6jb1E1,11.1.1,0.997,1.0,28.0,0.962,1.667,good_domain,3,11,subset_117,180,2,100.0
O15496,nD1,46-165,2392097,e6g5jB1,371.1.1,0.999,1.0,23.8,0.976,0.984,good_domain,3,2,subset_117,120,1,0.0
P29274,nD1,"6-145,166-315",419894,e2ydvA1,5001.1.1,0.999,1.0,33.9,0.876,1.016,good_domain,7,1,subset_414,290,2,34.13793103448276
Q9Y2I1,nD1,16-125,158729,e2ettA1,277.1.1,0.989,0.973,8.9,0.793,0.827,good_domain,4,3,subset_414,110,1,100.0
Q9Y2I1,nD2,126-470,2779087,e7k58Q1,207.1.1,0.993,0.972,16.8,0.922,1.215,good_domain,8,13,subset_414,345,2,100.0
Q9Y2I1,nD3,"591-620,701-820",1393973,e3ml4C2,220.1.1,0.983,0.0,9.6,0.843,1.23,good_domain,3,6,subset_414,150,1,100.0
Q9Y2I1,nD4,"826-865,891-1010",1285211,e4po6A1,220.1.1,0.98,0.0,7.4,0.71,1.311,good_domain,4,6,subset_414,160,2,100.0
Q9Y2I1,nD5,"1106-1195,1221-1280,1311-1320",1393973,e3ml4C2,220.1.1,0.985,0.0,9.2,0.861,1.311,good_domain,6,8,subset_414,160,2,100.0
Q9Y2I1,nD6,"1321-1435,1466-1504",2067724,e5jhhE1,220.1.1,0.985,0.0,11.6,0.815,1.262,good_domain,3,7,subset_414,154,2,100.0
P02751,nD1,51-90,8549,e1o9aA2,391.1.1,1.0,0.998,6.3,0.909,0.87,good_domain,0,5,subset_414,40,0,0.0
P02751,nD2,96-135,91856,e2rkyC2,391.1.1,1.0,0.998,6.9,0.87,0.87,good_domain,0,4,subset_414,40,0,0.0
P02751,nD3,136-180,8549,e1o9aA2,391.1.1,1.0,0.997,4.9,0.909,0.978,good_domain,0,5,subset_414,45,0,0.0
P02751,nD4,181-230,170159,e3ejhA1,391.1.1,1.0,0.997,6.3,0.896,1.087,good_domain,1,5,subset_414,50,0,0.0
P02751,nD5,231-275,167222,e2ec3A1,391.1.1,1.0,0.997,5.8,0.689,0.978,good_domain,0,5,subset_414,45,0,0.0
P02751,nD6,306-345,1245465,e3m7pA16,391.1.1,1.0,1.0,6.8,0.8,0.87,good_domain,0,5,subset_414,40,0,0.0
P02751,nD7,346-405,90101,e1qo6A1,380.1.1,1.0,0.992,8.7,0.966,0.723,good_domain,0,4,subset_414,60,0,0.0
P02751,nD8,406-465,90101,e1qo6A1,380.1.1,1.0,0.982,8.7,1.0,0.723,good_domain,0,4,subset_414,60,0,0.0
P02751,nD9,466-510,1245468,e3m7pA18,391.1.1,1.0,0.998,0.0,0.755,0.978,good_domain,1,5,subset_414,45,0,0.0
P02751,nD10,511-570,1245468,e3m7pA18,391.1.1,1.0,1.0,0.0,0.857,1.304,good_domain,1,5,subset_414,60,0,0.0
P02751,nD11,"571-605,611-700",2141613,e5mzvC1,11.1.1,1.0,0.992,7.5,0.847,1.157,good_domain,0,10,subset_414,125,1,0.0
P02751,nD12,716-810,2413283,e6eg1A1,11.1.1,1.0,0.507,4.3,0.694,0.88,good_domain,0,6,subset_414,95,1,0.0
P02751,nD13,811-900,39103,e1nbqA2,11.1.1,1.0,0.688,3.4,0.615,0.833,good_domain,0,7,subset_414,90,1,0.0
P02751,nD14,906-995,139234,e3l5hA4,11.1.1,1.0,0.999,11.8,0.926,0.833,good_domain,0,6,subset_414,90,1,0.0
P02751,nD15,996-1085,145325,e2xwxA2,11.1.1,1.0,0.891,7.6,0.861,0.833,good_domain,0,7,subset_414,90,1,0.0
P02751,nD16,1091-1170,1660,e1f97A1,11.1.1,1.0,0.775,2.2,0.461,0.741,good_domain,0,7,subset_414,80,0,0.0
P02751,nD17,1176-1265,2527386,e6mfaA1,11.1.1,1.0,0.998,16.9,0.938,0.833,good_domain,0,7,subset_414,90,1,0.0
P02751,nD18,1266-1355,2768036,e6xaxA1,11.1.1,0.997,0.0,14.4,0.915,0.833,good_domain,0,7,subset_414,90,1,0.0
P02751,nD19,1356-1445,1162560,e2q7nA13,11.1.1,1.0,0.997,6.3,0.96,0.833,good_domain,0,7,subset_414,90,1,0.0
P02751,nD20,1446-1540,1509,e1i1rA3,11.1.1,1.0,0.985,6.0,0.73,0.88,good_domain,0,7,subset_414,95,1,0.0
P02751,nD21,1541-1630,1807490,e5fmvA3,11.1.1,1.0,0.993,12.3,0.915,0.833,good_domain,0,7,subset_414,90,1,0.0
P02751,nD22,1631-1725,1807490,e5fmvA3,11.1.1,1.0,0.993,12.9,0.957,0.88,good_domain,0,7,subset_414,95,1,0.0
P02751,nD23,1726-1810,2453082,e6e3kC1,11.1.1,1.0,0.976,10.3,0.828,0.787,good_domain,0,6,subset_414,85,0,0.0
P02751,nD24,1811-1905,1807490,e5fmvA3,11.1.1,1.0,0.993,12.8,0.957,0.88,good_domain,0,7,subset_414,95,1,0.0
P02751,nD25,1906-1995,1807490,e5fmvA3,11.1.1,1.0,0.995,12.5,0.915,0.833,good_domain,0,7,subset_414,90,1,0.0
P02751,nD26,1996-2090,1163903,e3v6oB4,11.1.1,1.0,0.985,8.2,0.753,0.88,good_domain,0,7,subset_414,95,1,0.0
P02751,nD27,2201-2295,1652463,e3mx0A2,11.1.1,1.0,0.38,4.1,0.493,0.88,good_domain,0,6,subset_414,95,1,0.0
P02751,nD28,2296-2340,8548,e2cg7A2,391.1.1,1.0,0.999,7.5,0.936,0.978,good_domain,0,5,subset_414,45,0,0.0
P02751,nD29,2341-2385,91856,e2rkyC2,391.1.1,1.0,0.998,7.4,0.891,0.978,good_domain,0,5,subset_414,45,0,0.0
P02751,nD30,2386-2425,170159,e3ejhA1,391.1.1,1.0,0.998,5.2,0.833,0.87,good_domain,0,5,subset_414,40,0,0.0
O60658,nD1,76-220,10033,e1p2fA2,2007.1.3,0.995,0.0,14.9,0.942,1.137,good_domain,5,5,subset_495,145,1,100.0
O60658,nD2,221-340,2644070,e6y7qAAA1,223.1.1,0.994,0.924,14.5,0.923,0.822,good_domain,3,4,subset_495,120,1,100.0
O60658,nD3,371-405,1177461,e3a0rA6,605.1.1,0.884,0.976,0.0,0.478,0.479,simple_topology,2,0,subset_495,35,0,100.0
O60658,nD4,476-820,169534,e3ecmA1,131.1.1,1.0,1.0,52.8,1.0,1.494,good_domain,17,0,subset_495,345,2,100.0
P17658,nD1,41-135,166293,e2r9rB2,226.1.1,0.996,1.0,19.1,0.931,0.812,good_domain,5,4,subset_495,95,1,100.0
P17658,nD2,"141-210,251-480",1281106,e4g80I1,5054.1.1,0.994,0.983,8.2,0.921,1.316,good_domain,7,0,subset_495,300,2,28.333333333333332
P24394,nD1,26-120,1497,e1iarB1,11.1.1,0.998,0.997,20.6,0.99,0.88,good_domain,2,7,subset_495,95,1,0.0
P24394,nD2,121-235,2522012,e6oelB1,11.1.1,0.996,0.997,13.8,1.0,1.065,good_domain,4,7,subset_495,115,1,0.0
Q9Y575,nD1,1-135,1489133,e4ot9A1,109.3.1,0.999,1.0,20.9,0.372,0.678,good_domain,8,0,subset_110,135,1,100.0
Q9Y575,nD2,136-340,1735014,e5et1B1,109.3.1,1.0,1.0,25.1,0.583,1.03,good_domain,11,0,subset_110,205,2,100.0
Q9Y575,nD3,341-460,4525,e1dcqA1,109.3.1,0.974,0.993,5.4,0.675,0.603,good_domain,8,0,subset_110,120,1,100.0
Q9Y575,nD4,461-510,136382,e3ifqA1,109.4.1,0.539,0.0,2.3,na,na,low_confidence,4,0,subset_110,50,0,100.0
P08173,nD1,"21-240,356-479",2420829,e5zkcA2,5001.1.1,0.999,1.0,38.1,0.937,1.205,good_domain,7,1,subset_110,344,2,36.04651162790697
P39900,nD1,21-105,51858,e1slmA1,144.1.1,0.995,1.0,7.8,0.862,1.104,good_domain,3,0,subset_110,85,0,0.0
P39900,nD2,106-265,1094878,e4fu4A2,2498.1.1,0.998,1.0,28.5,0.925,0.637,good_domain,3,6,subset_110,160,2,0.0
P39900,nD3,266-470,168459,e3ba0A1,5.1.1,0.982,1.0,31.8,0.985,1.041,good_domain,3,13,subset_110,205,2,0.0
Q9NP84,nD1,36-70,119220,e2kmzA1,389.1.3,0.971,0.998,0.0,0.66,0.648,good_domain,1,2,subset_110,35,0,0.0
Q9NP84,nD2,71-113,184835,e2m20A1,3569.1.1,0.891,0.828,0.0,0.55,0.741,simple_topology,1,0,subset_110,43,0,27.906976744186046
Q9NP72,nD1,1-180,2642555,e6s5fA1,2004.1.1,0.998,0.998,26.7,0.941,0.807,good_domain,5,6,subset_186,180,2,100.0
P27635,nD1,6-200,1421045,e3j7oI1,325.1.5,0.995,1.0,27.6,0.901,1.114,good_domain,3,11,subset_186,195,2,100.0
Q9NXG6,nD1,"61-85,111-500",2741615,e6tp5B1,10.12.1,0.996,1.0,27.4,0.955,2.358,good_domain,13,15,subset_186,415,2,0.24096385542168675
P08581,nD1,"1-400,416-515",2328895,e5y2zH1,5.1.4,0.951,0.0,19.3,0.906,1.393,good_domain,5,30,subset_164,500,2,4.8
P08581,nD2,516-560,2724218,e6wvzM1,355.1.1,0.999,1.0,6.5,0.86,0.818,good_domain,2,2,subset_164,45,0,0.0
P08581,nD3,561-655,1311521,e2uzxD2,11.1.1,1.0,1.0,17.0,0.918,0.88,good_domain,0,10,subset_164,95,1,0.0
P08581,nD4,656-740,2116971,e5lspP2,11.1.1,1.0,0.996,18.4,1.0,0.787,good_domain,0,8,subset_164,85,0,0.0
P08581,nD5,741-840,1862373,e5l5kA3,11.1.1,1.0,0.995,10.2,0.965,0.926,good_domain,2,7,subset_164,100,1,0.0
P08581,nD6,"841-925,931-955",2116971,e5lspP2,11.1.1,1.0,0.978,8.0,0.892,1.019,good_domain,1,7,subset_164,110,1,0.0
P08581,nD7,1041-1365,2706103,e7kjcA1,206.1.1,0.993,0.998,33.5,0.907,1.08,good_domain,11,8,subset_164,325,2,100.0
Q07020,nD1,1-188,2765716,e7o7yBQ1,2490.3.1,1.0,1.0,24.8,1.0,1.262,good_domain,7,6,subset_164,188,2,100.0
P48067,nD1,"101-235,261-665",1551987,e4xp9C1,5051.1.1,1.0,1.0,50.9,0.974,1.153,good_domain,19,3,subset_164,540,2,30.0
Q9UH73,nD1,36-240,993497,e3mlpE1,11.1.5,0.996,1.0,35.4,0.945,1.331,good_domain,3,12,subset_315,205,2,100.0
Q9UH73,nD2,261-345,393651,e3n50F1,11.1.1,0.999,1.0,18.5,0.552,0.787,good_domain,0,9,subset_315,85,0,100.0
Q9UH73,nD3,346-390,153761,e4ayaA1,105.1.1,0.99,0.42,5.0,0.695,0.672,simple_topology,2,0,subset_315,45,0,100.0
Q12809,nD1,1-135,2644070,e6y7qAAA1,223.1.1,0.995,0.968,21.1,1.0,0.925,good_domain,3,5,subset_315,135,1,100.0
Q12809,nD2,391-665,2071554,e5va1A3,5054.1.1,0.996,1.0,26.9,0.863,1.206,good_domain,9,1,subset_315,275,2,28.727272727272727
Q12809,nD3,666-860,1095708,e4lloA1,10.12.1,0.995,0.994,21.3,0.803,1.108,good_domain,7,8,subset_315,195,2,100.0
Q7L1I2,nD1,96-365,1234866,e4gbzA4,5050.1.1,0.995,1.0,19.6,0.875,1.224,good_domain,9,1,subset_315,270,2,40.74074074074074
Q7L1I2,nD2,426-520,2042175,e5moyB1,207.9.1,0.985,0.0,18.7,0.864,0.534,good_domain,0,12,subset_315,95,1,0.0
Q7L1I2,nD3,"346-420,531-683",2811150,e7sp5A1,5050.1.1,0.993,1.0,20.3,0.887,1.034,good_domain,6,0,subset_315,228,2,32.89473684210526
Q01543,nD1,106-195,001170643,e2ytuA2,102.1.1,0.995,0.998,9.2,0.89,1.154,good_domain,2,1,subset_146,90,1,100.0
Q01543,nD2,281-375,000045835,e1gvjB1,101.1.2,0.995,0.993,8.5,0.627,1.0,good_domain,4,3,subset_146,95,1,100.0
Q9UQL6,nD1,77-165,na,na,na,na,na,na,na,na,simple_topology,1,0,subset_146,89,1,100.0
Q9UQL6,nD2,681-1090,002572567,e6j6tB1,2006.1.5,1.0,1.0,55.5,0.962,1.285,good_domain,12,10,subset_146,410,2,100.0
Q14832,nD1,"31-195,326-360,381-465",001567052,e5c5cA1,2007.1.2,0.997,1.0,39.8,0.761,1.993,good_domain,8,10,subset_146,285,2,0.0
Q14832,nD2,"196-325,466-505",002442129,e6n51B3,2007.1.2,0.999,1.0,29.9,0.526,1.189,good_domain,5,8,subset_146,170,2,0.0
Q14832,nD3,506-565,001645448,e2e4xA3,389.1.3,0.991,1.0,6.4,0.868,1.111,good_domain,0,6,subset_146,60,0,0.0
Q14832,nD4,571-845,001291848,e4or2B1,5001.1.1,0.996,0.999,31.6,0.959,0.963,good_domain,7,2,subset_146,275,2,25.818181818181817
Q13480,nD1,1-120,957,e1u5eA1,220.1.1,0.996,0.969,14.0,0.631,0.984,good_domain,3,6,subset_168,120,1,100.0
P39023,nD1,1-400,2755728,e7o7yBB1,1.1.7,1.0,1.0,52.6,0.997,3.604,good_domain,7,13,subset_168,400,2,100.0
Q15722,nD1,11-305,2141734,e5o9hB1,5001.1.1,0.999,1.0,33.3,0.934,1.033,good_domain,8,2,subset_168,295,2,25.76271186440678
Q02153,nD1,1-190,432783,e3tfgA1,873.1.1,0.996,0.999,25.2,1.0,1.111,good_domain,5,5,subset_461,190,2,100.0
Q02153,nD2,206-355,2816576,e7d9rB3,223.1.1,0.997,1.0,20.4,0.794,1.027,good_domain,7,5,subset_461,150,1,100.0
Q02153,nD3,376-605,2773694,e6jt1B2,304.48.1,1.0,1.0,31.9,0.987,1.053,good_domain,7,9,subset_461,230,2,100.0
Q9Y2D0,nD1,41-295,44626,e1keqA1,62.1.1,0.997,1.0,36.5,0.992,0.994,good_domain,5,12,subset_461,255,2,100.0
P18564,nD1,26-80,2772052,e7nxdB2,355.1.1,0.999,1.0,6.9,0.869,1.0,good_domain,2,2,subset_461,55,0,0.0
P18564,nD2,131-375,2531248,e5neuB1,2006.1.6,0.998,1.0,35.6,0.598,1.161,good_domain,7,8,subset_461,245,2,0.0
P18564,nD3,"81-130,376-450",2772057,e7nxdB7,11.1.1,0.994,1.0,15.9,0.84,1.157,good_domain,1,9,subset_461,125,1,0.0
P18564,nD4,451-490,1005450,e2p28B3,389.1.1,0.967,0.0,4.5,0.698,0.941,simple_topology,0,2,subset_461,40,0,0.0
P18564,nD5,491-540,2390272,e6bxbB5,389.1.1,0.999,1.0,7.2,0.87,1.176,good_domain,1,3,subset_461,50,0,0.0
P18564,nD6,541-575,2772054,e7nxdB4,389.1.1,1.0,1.0,3.6,0.875,0.824,good_domain,1,2,subset_461,35,0,0.0
P18564,nD7,581-615,2393139,e6bxjA6,389.1.1,1.0,1.0,6.5,0.7,0.824,good_domain,1,2,subset_461,35,0,0.0
P18564,nD8,621-705,1665036,e3ijeB2,827.1.1,0.992,1.0,7.0,0.833,0.977,good_domain,3,4,subset_461,85,0,0.0
P18564,nD9,711-755,1002535,e3g9wD1,3661.1.1,0.962,0.982,0.0,0.675,1.034,simple_topology,1,0,subset_461,45,0,55.55555555555556
O75925,nD1,6-65,3131,e1v66A1,130.1.1,0.998,0.996,9.7,0.923,1.091,good_domain,4,0,subset_254,60,0,100.0
O75925,nD2,136-285,1391774,e4fo9A2,10.1.2,0.987,1.0,19.0,0.909,0.955,good_domain,1,6,subset_254,150,1,100.0
O75925,nD3,286-415,1158365,e4mvtA4,376.1.1,0.998,1.0,20.9,0.942,1.667,good_domain,4,6,subset_254,130,1,100.0
P48547,nD1,6-120,6270,e3kvtA1,226.1.1,0.992,0.99,17.4,1.0,0.983,good_domain,5,4,subset_254,115,1,100.0
P48547,nD2,"161-455,486-510",2794037,e7e7zC1,5054.1.1,0.999,0.999,21.6,0.945,1.404,good_domain,8,2,subset_254,320,2,33.4375
Q9Y243,nD1,6-120,935,e1unqA1,220.1.1,0.997,0.98,19.2,0.924,0.943,good_domain,1,7,subset_254,115,1,100.0
Q9Y243,nD2,131-475,80240,e2jdoA1,206.1.1,0.998,1.0,47.0,0.926,1.146,good_domain,8,8,subset_254,345,2,100.0
P41743,nD1,16-135,6188,e1wmhA1,221.1.1,0.993,0.988,14.5,1.0,1.277,good_domain,3,6,subset_429,120,1,100.0
P41743,nD2,136-190,167536,e2ennA1,376.1.2,0.997,0.958,8.4,0.786,0.887,good_domain,0,4,subset_429,55,0,100.0
P41743,nD3,236-590,1886282,e5li9A1,206.1.1,0.999,1.0,48.6,0.959,1.179,good_domain,11,9,subset_429,355,2,100.0
P35913,nD1,"1-30,51-235",2697340,e6x88A1,223.1.1,0.995,1.0,27.3,0.964,1.473,good_domain,6,6,subset_429,215,2,100.0
P35913,nD2,"236-280,311-455",2697341,e6x88A2,223.1.1,1.0,1.0,27.7,0.973,1.301,good_domain,4,6,subset_429,190,2,100.0
P35913,nD3,456-830,2396734,e6c7eA1,131.1.1,0.999,1.0,42.4,0.971,1.623,good_domain,12,0,subset_429,375,2,100.0
Q9NPF7,nD1,21-189,1227226,e3d87A2,150.3.1,0.998,1.0,21.3,0.94,1.119,good_domain,5,0,subset_429,169,2,0.0
P00747,nD1,21-100,985515,e4a5tS7,390.1.1,0.999,1.0,17.6,0.988,0.851,good_domain,2,5,subset_478,80,0,0.0
P00747,nD2,101-180,1867096,e5fwwB1,380.1.1,0.999,0.969,10.3,0.397,0.964,simple_topology,0,2,subset_478,80,0,0.0
P00747,nD3,181-265,985511,e4a5tS3,380.1.1,0.999,1.0,17.8,0.954,1.024,good_domain,1,2,subset_478,85,0,0.0
P00747,nD4,266-350,2797880,e7me4A1,380.1.1,0.998,0.981,13.7,0.892,1.024,good_domain,0,2,subset_478,85,0,0.0
P00747,nD5,376-465,2766160,e7ocmA2,380.1.1,0.999,0.996,15.4,0.956,1.084,good_domain,0,2,subset_478,90,1,0.0
P00747,nD6,481-560,2642574,e6szwD1,380.1.1,0.962,0.0,2.4,0.865,0.964,simple_topology,0,2,subset_478,80,0,0.0
P00747,nD7,566-810,1097601,e4a5tS8,1.1.17,0.994,1.0,39.4,0.96,1.061,good_domain,4,12,subset_478,245,2,0.0
Q14721,nD1,21-160,1760353,e3dryC1,226.1.1,0.993,0.99,11.0,0.607,1.197,good_domain,6,5,subset_478,140,1,100.0
Q14721,nD2,"161-445,451-475",1281106,e4g80I1,5054.1.1,0.99,0.982,9.4,0.928,1.36,good_domain,8,0,subset_478,310,2,39.67741935483871
Q30154,nD1,26-120,2711730,e6t3yB1,233.1.1,0.992,0.999,12.7,0.715,0.537,good_domain,1,4,subset_478,95,1,4.2105263157894735
Q30154,nD2,121-220,1346549,e4p5mD1,11.1.1,0.999,0.999,18.1,0.892,0.926,good_domain,0,8,subset_478,100,1,0.0
Q9H0Q0,nD1,"16-160,181-323",1117660,e3p8cA1,3289.1.1,0.997,1.0,19.9,0.201,0.244,partial_domain,13,1,subset_221,288,2,100.0
P61927,nD1,1-90,2774669,e6zj3Ly1,375.1.1,1.0,1.0,9.6,0.83,1.607,good_domain,2,2,subset_221,90,1,100.0
Q9C0B1,nD1,26-325,1412674,e4qknA2,10.12.1,0.999,1.0,41.9,0.928,1.705,good_domain,6,13,subset_221,300,2,100.0
Q9C0B1,nD2,326-500,1386808,e4ie5A2,603.8.1,0.998,1.0,26.8,0.931,0.931,good_domain,5,1,subset_221,175,2,100.0
P11177,nD1,31-220,002396954,e6cerH2,7574.1.1,0.999,1.0,37.9,0.984,0.962,good_domain,5,8,subset_92,190,2,100.0
P11177,nD2,221-359,000107623,e2ozlD1,7522.1.1,0.999,1.0,28.8,1.0,1.015,good_domain,4,6,subset_92,139,1,100.0
P22001,nD1,106-200,000166293,e2r9rB2,226.1.1,0.995,1.0,18.4,0.931,0.812,good_domain,5,4,subset_92,95,1,100.0
P22001,nD2,201-505,000176798,e3lutB1,5054.1.1,0.992,1.0,10.6,0.744,1.338,good_domain,8,0,subset_92,305,2,28.524590163934427
P52732,nD1,6-375,002427744,e6a20A1,2004.1.1,0.997,1.0,42.0,0.753,1.659,good_domain,7,17,subset_92,370,2,100.0
P52732,nD2,406-435,002547375,e6jlbB1,3755.3.1,0.874,0.963,0.0,0.063,0.174,simple_topology,1,0,subset_92,30,0,100.0
P52732,nD3,"436-470,491-520",001765872,e3vkhB14,148.1.3,0.913,0.951,0.0,0.361,0.699,simple_topology,1,0,subset_92,65,0,100.0
P52732,nD4,"586-635,641-685,761-845",002537293,e6pyrB1,3755.4.1,0.903,0.0,8.8,0.497,1.065,simple_topology,2,0,subset_92,180,2,100.0
P52732,nD5,"521-585,846-915",na,na,na,na,na,na,na,na,simple_topology,2,0,subset_92,135,1,100.0
P52732,nD6,686-760,002085433,e5nugB13,148.1.3,0.776,0.887,0.0,na,na,simple_topology,2,0,subset_92,75,0,100.0
P43489,nD1,31-110,002492305,e6nypH1,389.1.3,0.997,0.987,6.5,0.987,1.481,good_domain,1,6,subset_92,80,0,0.0
P43489,nD2,111-165,002415464,e6mgpY1,389.1.3,0.999,0.99,7.8,0.735,1.019,good_domain,0,3,subset_92,55,0,0.0
Q9H6H4,nD1,1-85,2713490,e6vgiA1,5038.2.1,0.75,0.0,7.1,na,na,low_confidence,3,0,subset_41,85,0,25.88235294117647
Q9H6H4,nD2,101-150,2154779,e5y9dA4,633.6.1,0.227,0.0,6.4,na,na,simple_topology,1,0,subset_41,50,0,100.0
P54762,nD1,21-195,2131245,e4m4rE4,10.1.2,0.999,1.0,26.8,0.731,1.115,good_domain,2,11,subset_41,175,2,0.0
P54762,nD2,196-265,1758626,e4m4pA2,389.1.1,1.0,1.0,15.8,0.553,1.647,good_domain,0,6,subset_41,70,0,0.0
P54762,nD3,256-320,1758626,e4m4pA2,389.1.1,1.0,1.0,15.8,0.52,1.529,simple_topology,0,2,subset_41,65,0,0.0
P54762,nD4,321-430,2723351,e7k7jA1,11.1.1,0.999,1.0,17.6,0.69,1.019,good_domain,0,8,subset_41,110,1,0.0
P54762,nD5,431-565,2806940,e7s7kA3,11.1.1,0.999,1.0,18.4,0.94,1.25,good_domain,2,7,subset_41,135,1,2.2222222222222223
P54762,nD6,591-905,2706103,e7kjcA1,206.1.1,1.0,1.0,41.1,0.936,1.047,good_domain,11,9,subset_41,315,2,100.0
P54762,nD7,906-980,2706104,e7kjcA2,102.1.1,0.999,1.0,12.8,0.885,0.962,good_domain,4,0,subset_41,75,0,100.0
